mass_Msun,radius_Rsun,radius_km
4.813136110224980335e-02,3.429472112397144445e-02,2.385883748594693316e+04
5.095984972463445117e-02,3.363405370133563249e-02,2.339921116001919654e+04
5.395055675685634516e-02,3.298584606781329587e-02,2.294825310937770701e+04
5.711222212765261486e-02,3.234984828933071960e-02,2.250578945488738100e+04
6.045397764219455350e-02,3.172581467814957618e-02,2.207164927158865976e+04
6.398535329399966665e-02,3.111350367889840346e-02,2.164566450940961658e+04
6.771628187143867439e-02,3.051267778570343134e-02,2.122766993551387714e+04
7.165710153891302614e-02,2.992310344248480872e-02,2.081750306493668177e+04
7.581855603966970725e-02,2.934455095702323546e-02,2.041500410080106667e+04
8.021179213215239023e-02,2.877679440969855076e-02,2.002001587082728292e+04
8.484835383696036348e-02,2.821961157865138931e-02,1.963238377526777185e+04
8.974017303600599627e-02,2.767278385353285144e-02,1.925195572690280460e+04
9.489955593244779608e-02,2.713609616787202028e-02,1.887858210398856318e+04
1.003391648479295267e-01,2.660933692630393713e-02,1.851211569962964859e+04
1.060719948066133067e-01,2.609229794361188001e-02,1.815241167937078353e+04
1.121113443326414022e-01,2.558477438529367654e-02,1.779932753984881128e+04
1.184707798731585437e-01,2.508656471744179564e-02,1.745272307392425864e+04
1.251640932532156747e-01,2.459747066181880090e-02,1.711246033942733993e+04
1.322052515751222235e-01,2.411729715500590676e-02,1.677840363073760818e+04
1.396083389966771837e-01,2.364585232477669358e-02,1.645041946234714487e+04
1.473874898593842409e-01,2.318294746307240570e-02,1.612837655005947272e+04
1.555568126986964783e-01,2.272839701469735185e-02,1.581214580312494763e+04
1.641303047487545630e-01,2.228201857483141923e-02,1.550160032251021948e+04
1.731217566630293414e-01,2.184363289303924843e-02,1.519661540368740498e+04
1.825446473091145716e-01,2.141306388856608137e-02,1.489706854727542122e+04
1.924120286630529031e-01,2.099013867736639061e-02,1.460283947784379779e+04
2.027364010268637995e-01,2.057468760311484055e-02,1.431381016548699336e+04
2.135295790244001179e-01,2.016654428690529965e-02,1.402986486040001546e+04
2.248025490898479528e-01,1.976554567677071481e-02,1.375089012732938500e+04
